"t","rt"
1,0.00709924845071302
2,0.011176584806948
3,0.0135616736781725
4,0.015253921163183
5,0.0165665302885607
6,0.0176390100344075
7,0.0185457787392737
8,0.0193312575194179
9,0.020024098905632
10,0.0206438666447956
11,0.0212045147612917
12,0.0217163463906424
13,0.0221871858475456
14,0.0226231150955087
15,0.0230289555160201
16,0.0234085938756529
17,0.0237652092981025
18,0.0241014352618669
19,0.0244194777399274
20,0.0247212030010306
21,0.0250082039667332
22,0.0252818511175266
23,0.0255433320738257
24,0.0257936827468774
25,0.0260338121264083
26,0.0262645222037806
27,0.0264865241330914
28,0.0267004514517436
29,0.0269068709800452
30,0.0271062918722551
31,0.0272991731829786
32,0.0274859302318879
33,0.0276669399887511
34,0.0278425456543375
35,0.0280130605771213
36,0.0281787716181019
37,0.0283399420545026
38,0.0284968140961623
39,0.0286496110750051
40,0.0287985393572656
41,0.0289437900195619
42,0.0290855403229681
43,0.0292239550136163
44,0.0293591874737616
45,0.0294913807434796
46,0.0296206684300606
47,0.0297471755195957
48,0.0298710191031124
49,0.0299923090278344
50,0.0301111484826433
